BIN,country_name,card_brand,card_type,card_level,issuer_name,country_code2,is_valid
400425,UNITED STATES,VISA,DEBIT,PREPAID,"WELLS FARGO BANK, N.A.",US,False
400426,UNITED STATES,VISA,CREDIT,BUSINESS,U.S. BANK NATIONAL ASSOCIATION-CREDIT,US,False
400427,UNITED STATES,VISA,CREDIT,BUSINESS,U.S. BANK NATIONAL ASSOCIATION-CREDIT,US,False
400428,UNITED STATES,VISA,CREDIT,BUSINESS,U.S. BANK NATIONAL ASSOCIATION-CREDIT,US,False
400429,UNITED STATES,VISA,DEBIT,BUSINESS,"U.S. BANK, N.A.",US,False
400430,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,AURGROUP FINANCIAL CREDIT UNION,US,True
400431,UNITED STATES,VISA,CREDIT,TRADITIONAL,COASTAL COMMUNITY BANK,US,True
400432,UNITED STATES,VISA,CREDIT,,,US,False
400433,UNITED STATES,VISA,CREDIT,,,US,False
400434,UNITED STATES,VISA,CREDIT,,,US,False
400435,UNITED STATES,VISA,CREDIT,,,US,False
400436,UNITED STATES,VISA,CREDIT,,,US,False
400442,UNITED STATES,VISA,DEBIT,CLASSIC,POWER FINANCIAL CREDIT UNION,US,True
400445,UNITED STATES,VISA,CREDIT,,,US,False
400460,UNITED STATES,VISA,DEBIT,CLASSIC,FIRST STATE BANK OF SAUK CENTRE,US,True
400461,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"ABBEY CREDIT UNION, INC.",US,True
400463,UNITED STATES,VISA,CREDIT,TRADITIONAL,PRIME FINANCIAL CREDIT UNION,US,False
400464,UNITED STATES,VISA,CREDIT,CLASSIC,SOVITA CREDIT UNION,US,
400471,UNITED STATES,VISA,CREDIT,CLASSIC,BLACKHAWK COMMUNITY CREDIT UNION,US,True
400472,UNITED STATES,VISA,DEBIT,CLASSIC,"AMERICAN BANK &amp; TRUST COMPANY, INC.",US,True
400476,UNITED STATES,VISA,DEBIT,PLATINUM,,US,False
400477,UNITED STATES,VISA,DEBIT,BUSINESS,"THE CITIZENS STATE BANK OF CHENEY, KANSAS",US,False
400478,UNITED STATES,VISA,CREDIT,,,US,False
400482,UNITED STATES,VISA,CREDIT,,,US,False
400492,UNITED STATES,VISA,DEBIT,BUSINESS,CNB BANK,US,True
400493,UNITED STATES,VISA,CREDIT,BUSINESS,ICBA BANCARD,US,False
400494,UNITED STATES,VISA,CREDIT,BUSINESS,MCT CREDIT UNION,US,False
400498,UNITED STATES,VISA,CREDIT,TRADITIONAL REWARDS,DELTA COMMUNITY CREDIT UNION,US,True
400500,UNITED STATES,VISA,DEBIT,BUSINESS,UTAH FIRST FEDERAL CREDIT UNION,US,False
400501,UNITED STATES,VISA,CREDIT,BUSINESS,UTAH FIRST FEDERAL CREDIT UNION,US,False
400502,UNITED STATES,VISA,CREDIT,BUSINESS,FREEDOM CREDIT UNION,US,False
400503,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,SUTTON BANK,US,True
400504,UNITED STATES,VISA,CREDIT,TRADITIONAL,WYHY FEDERAL CREDIT UNION,US,True
400505,UNITED STATES,VISA,CREDIT,CLASSIC,TRUNORTH FEDERAL CREDIT UNION,US,True
400506,UNITED STATES,VISA,DEBIT,CLASSIC,NORFOLK FIRE DEPARTMENT FEDERAL CREDIT UNION,US,True
400507,UNITED STATES,VISA,CREDIT,TRADITIONAL,DEXSTA FEDERAL CREDIT UNION,US,True
400508,UNITED STATES,VISA,CREDIT,CLASSIC,CENTRAL JERSEY POLICE &amp; FIRE FEDERAL CREDIT UNION,US,True
400509,UNITED STATES,VISA,CREDIT,CLASSIC,MEMPHIS CITY EMPLOYEES CREDIT UNION,US,False
400510,UNITED STATES,VISA,DEBIT,PREPAID WORKPLACE BENEFITS,"THE BANCORP BANK, NATIONAL ASSOCIATION",US,True
400511,UNITED STATES,VISA,DEBIT,PREPAID HEALTHCARE,BANCORP BANK,US,False
400512,UNITED STATES,VISA,DEBIT,CLASSIC,LUZERNE COUNTY FEDERAL CREDIT UNION,US,True
400513,UNITED STATES,VISA,DEBIT,CLASSIC,ATTLEBORO MUNICIPAL EMPLOYEES FEDERAL CREDIT UNION,US,True
400514,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"PATHWARD, N.A.",US,False
400516,UNITED STATES,VISA,DEBIT,CLASSIC,REPUBLIC BANK &amp; TRUST COMPANY,US,True
400517,UNITED STATES,VISA,DEBIT,BUSINESS,DECATUR EARTHMOVER CREDIT UNION,US,False
400518,UNITED STATES,VISA,DEBIT,CLASSIC,NORTHERN COMMUNITIES CREDIT UNION,US,True
400519,UNITED STATES,VISA,CREDIT,TRADITIONAL,VYSTAR CREDIT UNION,US,False
400520,UNITED STATES,VISA,CREDIT,SIGNATURE,VYSTAR CREDIT UNION,US,False
400521,UNITED STATES,VISA,DEBIT,CLASSIC,DOMINION ENERGY CREDIT UNION,US,True
400525,UNITED STATES,VISA,DEBIT,CLASSIC,1ST EQUITY BANK,US,False
400526,UNITED STATES,VISA,DEBIT,CLASSIC,NEW ENGLAND FEDERAL CREDIT UNION,US,False
